"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-01",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-02",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-03",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-04",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-05",,,"0.06",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-06",,,"0.95",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-07",,,"0.22",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-08",,,"0.89",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-09",,,"0.23",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-10",,,"0.04",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-11",,,"0.06",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-12",,,"0.93",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-13",,,"0.87",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-14",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-15",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-16",,,"0.05",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-17",,,"0.30",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-18",,,"0.30",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-19",,,"0.12",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-20",,,"0.64",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-21",,,"0.34",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-22",,,"0.18",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-23",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-24",,,"0.68",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-25",,,"0.33",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-26",,,"0.54",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-28","    2","0.92",,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-29",,,"1.57",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-30",,,"0.65",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-01-31",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-01",,,"0.40",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-02",,,"0.90",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-03",,,"0.21",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-04",,,"0.69",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-05",,,"0.04",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-06",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-07",,,"0.17",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-08",,,"0.12",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-09",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-10",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-11",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-12",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-13",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-14",,,"0.35","1.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-15",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-16",,,"0.20",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-17",,,"0.57",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-18",,,"0.65","2.5",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-19",,,"0.00","0.0","1.5"
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-20",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-21",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-22",,,"0.05","0.5",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-23",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-24",,,"0.54","5.5",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-25",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-26",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-27",,,"0.04","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-02-28",,,"0.09",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-01",,,"0.42",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-02",,,"0.12",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-03",,,"0.24",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-04",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-05",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-06",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-07",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-08",,,"0.04",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-09",,,"0.96",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-10",,,"0.00","0.0",
